training:  19%|█▉        | 7733/40000 [00:40<02:43, 197.78it/s]
itr: 0 lr: 2.494e-07 train loss: 4.183836 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.67s)
itr: 250 lr: 6.259e-05 train loss: 4.171333 train token_acc: 0.0071 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.32s)
itr: 500 lr: 1.000e-04 train loss: 4.145587 train token_acc: 0.0430 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 750 lr: 9.998e-05 train loss: 4.085859 train token_acc: 0.0718 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1000 lr: 9.994e-05 train loss: 3.970094 train token_acc: 0.0642 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1250 lr: 9.989e-05 train loss: 3.715769 train token_acc: 0.0540 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1500 lr: 9.981e-05 train loss: 3.393141 train token_acc: 0.0817 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 1750 lr: 9.972e-05 train loss: 3.131459 train token_acc: 0.1089 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2000 lr: 9.960e-05 train loss: 2.817460 train token_acc: 0.1233 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2250 lr: 9.947e-05 train loss: 2.563340 train token_acc: 0.1454 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2500 lr: 9.931e-05 train loss: 2.482678 train token_acc: 0.1582 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 2750 lr: 9.914e-05 train loss: 2.433436 train token_acc: 0.1662 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3000 lr: 9.895e-05 train loss: 2.404319 train token_acc: 0.1722 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3250 lr: 9.874e-05 train loss: 2.367492 train token_acc: 0.1791 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3500 lr: 9.851e-05 train loss: 2.348003 train token_acc: 0.1805 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 3750 lr: 9.826e-05 train loss: 2.325086 train token_acc: 0.1901 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4000 lr: 9.799e-05 train loss: 2.299893 train token_acc: 0.1994 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4250 lr: 9.771e-05 train loss: 2.279315 train token_acc: 0.1979 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4500 lr: 9.740e-05 train loss: 2.257715 train token_acc: 0.2052 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 4750 lr: 9.708e-05 train loss: 2.237814 train token_acc: 0.2057 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5000 lr: 9.674e-05 train loss: 2.215847 train token_acc: 0.2127 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5250 lr: 9.638e-05 train loss: 2.200672 train token_acc: 0.2155 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5500 lr: 9.600e-05 train loss: 2.182791 train token_acc: 0.2172 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 5750 lr: 9.561e-05 train loss: 2.152534 train token_acc: 0.2301 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6000 lr: 9.519e-05 train loss: 2.124268 train token_acc: 0.2360 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6250 lr: 9.476e-05 train loss: 2.096648 train token_acc: 0.2470 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6500 lr: 9.432e-05 train loss: 2.069160 train token_acc: 0.2539 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 6750 lr: 9.385e-05 train loss: 2.045041 train token_acc: 0.2590 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7000 lr: 9.337e-05 train loss: 2.017674 train token_acc: 0.2653 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7250 lr: 9.287e-05 train loss: 1.999024 train token_acc: 0.2639 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7500 lr: 9.235e-05 train loss: 1.978728 train token_acc: 0.2757 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 7750 lr: 9.182e-05 train loss: 1.961682 train token_acc: 0.2812 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8000 lr: 9.127e-05 train loss: 1.945624 train token_acc: 0.2852 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8250 lr: 9.071e-05 train loss: 1.931194 train token_acc: 0.2884 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8500 lr: 9.013e-05 train loss: 1.909067 train token_acc: 0.2944 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 8750 lr: 8.953e-05 train loss: 1.901638 train token_acc: 0.2948 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9000 lr: 8.892e-05 train loss: 1.884125 train token_acc: 0.3023 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9250 lr: 8.829e-05 train loss: 1.867280 train token_acc: 0.3062 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9500 lr: 8.765e-05 train loss: 1.854661 train token_acc: 0.3112 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 9750 lr: 8.700e-05 train loss: 1.844489 train token_acc: 0.3122 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10000 lr: 8.632e-05 train loss: 1.826557 train token_acc: 0.3170 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10250 lr: 8.564e-05 train loss: 1.813360 train token_acc: 0.3198 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10500 lr: 8.494e-05 train loss: 1.802237 train token_acc: 0.3256 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 10750 lr: 8.423e-05 train loss: 1.785452 train token_acc: 0.3324 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11000 lr: 8.351e-05 train loss: 1.773711 train token_acc: 0.3360 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11250 lr: 8.277e-05 train loss: 1.761003 train token_acc: 0.3397 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11500 lr: 8.202e-05 train loss: 1.749174 train token_acc: 0.3409 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 11750 lr: 8.125e-05 train loss: 1.753926 train token_acc: 0.3472 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12000 lr: 8.048e-05 train loss: 1.741137 train token_acc: 0.3473 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12250 lr: 7.969e-05 train loss: 1.726086 train token_acc: 0.3536 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12500 lr: 7.889e-05 train loss: 1.721748 train token_acc: 0.3552 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 12750 lr: 7.808e-05 train loss: 1.715224 train token_acc: 0.3482 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13000 lr: 7.726e-05 train loss: 1.704992 train token_acc: 0.3617 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13250 lr: 7.643e-05 train loss: 1.701258 train token_acc: 0.3632 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
itr: 13500 lr: 7.559e-05 train loss: 1.691058 train token_acc: 0.3635 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.27s)
