training:  19%|█▉        | 7745/40000 [01:00<04:12, 127.72it/s]
itr: 0 lr: 2.494e-07 train loss: 4.861717 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.848657 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.99s)
itr: 500 lr: 1.000e-04 train loss: 4.795157 train token_acc: 0.0191 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 750 lr: 9.998e-05 train loss: 4.551523 train token_acc: 0.0217 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1000 lr: 9.994e-05 train loss: 4.109292 train token_acc: 0.0312 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1250 lr: 9.989e-05 train loss: 3.551783 train token_acc: 0.0547 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1500 lr: 9.981e-05 train loss: 3.279242 train token_acc: 0.0666 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 1750 lr: 9.972e-05 train loss: 3.245463 train token_acc: 0.0729 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2000 lr: 9.960e-05 train loss: 3.191525 train token_acc: 0.0775 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2250 lr: 9.947e-05 train loss: 3.156629 train token_acc: 0.0812 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2500 lr: 9.931e-05 train loss: 3.126043 train token_acc: 0.0819 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
itr: 2750 lr: 9.914e-05 train loss: 3.101735 train token_acc: 0.0859 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.96s)
