[GPU 2] Starting: V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 20000/60000 | loss 0.0000 | lr 7.52e-04 | 2568s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 20500/60000 | loss 0.0001 | lr 7.40e-04 | 2632s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 21000/60000 | loss 0.0000 | lr 7.29e-04 | 2694s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 21500/60000 | loss 0.0001 | lr 7.17e-04 | 2755s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 22000/60000 | loss 0.0000 | lr 7.05e-04 | 2819s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 22500/60000 | loss 0.0000 | lr 6.93e-04 | 2886s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 23000/60000 | loss 0.0001 | lr 6.81e-04 | 2950s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 23500/60000 | loss 0.0001 | lr 6.69e-04 | 3012s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 24000/60000 | loss 0.0000 | lr 6.56e-04 | 3074s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 24500/60000 | loss 0.0001 | lr 6.44e-04 | 3136s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr25000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 25000/60000 | loss 0.0000 | lr 6.31e-04 | 3199s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 25500/60000 | loss 0.0000 | lr 6.19e-04 | 3265s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 26000/60000 | loss 0.0000 | lr 6.06e-04 | 3327s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 26500/60000 | loss 0.0000 | lr 5.93e-04 | 3392s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 27000/60000 | loss 0.0000 | lr 5.80e-04 | 3457s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 27500/60000 | loss 0.0000 | lr 5.67e-04 | 3523s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 28000/60000 | loss 0.0001 | lr 5.54e-04 | 3588s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 28500/60000 | loss 0.0000 | lr 5.41e-04 | 3651s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 29000/60000 | loss 0.0000 | lr 5.28e-04 | 3712s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 29500/60000 | loss 0.0000 | lr 5.15e-04 | 3775s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr30000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 30000/60000 | loss 0.0000 | lr 5.02e-04 | 3838s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 30500/60000 | loss 0.0000 | lr 4.89e-04 | 3900s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 31000/60000 | loss 0.0000 | lr 4.76e-04 | 3966s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 31500/60000 | loss 0.0000 | lr 4.63e-04 | 4031s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 32000/60000 | loss 0.0000 | lr 4.50e-04 | 4092s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 32500/60000 | loss 0.0000 | lr 4.36e-04 | 4153s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 33000/60000 | loss 0.0000 | lr 4.24e-04 | 4215s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 33500/60000 | loss 0.0000 | lr 4.11e-04 | 4278s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 34000/60000 | loss 0.0000 | lr 3.98e-04 | 4344s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 34500/60000 | loss 0.0000 | lr 3.85e-04 | 4411s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr35000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 35000/60000 | loss 0.0000 | lr 3.72e-04 | 4478s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 35500/60000 | loss 0.0000 | lr 3.60e-04 | 4544s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 36000/60000 | loss 0.0000 | lr 3.47e-04 | 4612s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 36500/60000 | loss 0.0001 | lr 3.35e-04 | 4679s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 37000/60000 | loss 0.0000 | lr 3.22e-04 | 4741s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 37500/60000 | loss 0.0000 | lr 3.10e-04 | 4803s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 38000/60000 | loss 0.0000 | lr 2.98e-04 | 4866s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 38500/60000 | loss 0.0000 | lr 2.86e-04 | 4929s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 39000/60000 | loss 0.0000 | lr 2.75e-04 | 4991s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 39500/60000 | loss 0.0000 | lr 2.63e-04 | 5053s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr40000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 40000/60000 | loss 0.0000 | lr 2.52e-04 | 5115s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 40500/60000 | loss 0.0000 | lr 2.40e-04 | 5178s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 41000/60000 | loss 0.0000 | lr 2.29e-04 | 5245s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 41500/60000 | loss 0.0000 | lr 2.18e-04 | 5306s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 42000/60000 | loss 0.0000 | lr 2.08e-04 | 5368s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 42500/60000 | loss 0.0000 | lr 1.97e-04 | 5429s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 43000/60000 | loss 0.0001 | lr 1.87e-04 | 5491s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 43500/60000 | loss 0.0000 | lr 1.77e-04 | 5553s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 44000/60000 | loss 0.0000 | lr 1.67e-04 | 5615s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 44500/60000 | loss 0.0000 | lr 1.57e-04 | 5677s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr45000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 45000/60000 | loss 0.0000 | lr 1.48e-04 | 5739s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 45500/60000 | loss 0.0000 | lr 1.39e-04 | 5801s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 46000/60000 | loss 0.0000 | lr 1.30e-04 | 5863s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 46500/60000 | loss 0.0000 | lr 1.21e-04 | 5926s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 47000/60000 | loss 0.0000 | lr 1.13e-04 | 5988s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 47500/60000 | loss 0.0000 | lr 1.05e-04 | 6050s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 48000/60000 | loss 0.0000 | lr 9.67e-05 | 6112s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 48500/60000 | loss 0.0000 | lr 8.91e-05 | 6174s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 49000/60000 | loss 0.0000 | lr 8.18e-05 | 6236s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 49500/60000 | loss 0.0000 | lr 7.48e-05 | 6297s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr50000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 50000/60000 | loss 0.0000 | lr 6.81e-05 | 6358s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 50500/60000 | loss 0.0000 | lr 6.17e-05 | 6420s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 51000/60000 | loss 0.0000 | lr 5.56e-05 | 6482s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 51500/60000 | loss 0.0000 | lr 4.98e-05 | 6543s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 52000/60000 | loss 0.0000 | lr 4.43e-05 | 6605s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 52500/60000 | loss 0.0000 | lr 3.91e-05 | 6666s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 53000/60000 | loss 0.0000 | lr 3.43e-05 | 6732s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 53500/60000 | loss 0.0000 | lr 2.97e-05 | 6795s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 54000/60000 | loss 0.0000 | lr 2.55e-05 | 6857s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 54500/60000 | loss 0.0000 | lr 2.16e-05 | 6918s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr55000.pt
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 55000/60000 | loss 0.0000 | lr 1.81e-05 | 6979s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 55500/60000 | loss 0.0000 | lr 1.48e-05 | 7041s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 56000/60000 | loss 0.0000 | lr 1.20e-05 | 7102s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 56500/60000 | loss 0.0000 | lr 9.39e-06 | 7164s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 57000/60000 | loss 0.0000 | lr 7.17e-06 | 7226s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 57500/60000 | loss 0.0000 | lr 5.29e-06 | 7287s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 58000/60000 | loss 0.0000 | lr 3.75e-06 | 7349s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 58500/60000 | loss 0.0000 | lr 2.54e-06 | 7411s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 59000/60000 | loss 0.0000 | lr 1.69e-06 | 7472s
[GPU 2] V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 | itr 59500/60000 | loss 0.0000 | lr 1.17e-06 | 7535s
[GPU 2] Saved V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2_itr60000.pt
[GPU 2] Finished: V128_B32_LR1e-03_MI60000_LN0_E64_H1_L2 in 7599s
