training:  19%|█▉        | 7749/40000 [05:39<23:34, 22.80it/s]
itr: 0 lr: 2.494e-07 train loss: 5.560534 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 5.091528 train token_acc: 0.0045 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=10.98s)
itr: 500 lr: 1.000e-04 train loss: 3.043671 train token_acc: 0.1154 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=10.97s)
itr: 750 lr: 9.998e-05 train loss: 2.778474 train token_acc: 0.1887 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=10.97s)
itr: 1000 lr: 9.994e-05 train loss: 2.380191 train token_acc: 0.3102 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=10.96s)
itr: 1250 lr: 9.989e-05 train loss: 1.508542 train token_acc: 0.5758 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=10.97s)
itr: 1500 lr: 9.981e-05 train loss: 0.719899 train token_acc: 0.8147 train exact_match_acc: 0.0012 (K~32.00, min=32, max=32, dt=10.96s)
itr: 1750 lr: 9.972e-05 train loss: 0.435327 train token_acc: 0.8943 train exact_match_acc: 0.0337 (K~32.00, min=32, max=32, dt=10.97s)
itr: 2000 lr: 9.960e-05 train loss: 0.289227 train token_acc: 0.9337 train exact_match_acc: 0.1211 (K~32.00, min=32, max=32, dt=10.97s)
itr: 2250 lr: 9.947e-05 train loss: 0.204580 train token_acc: 0.9548 train exact_match_acc: 0.2446 (K~32.00, min=32, max=32, dt=10.97s)
itr: 2500 lr: 9.931e-05 train loss: 0.146489 train token_acc: 0.9693 train exact_match_acc: 0.3862 (K~32.00, min=32, max=32, dt=10.97s)
itr: 2750 lr: 9.914e-05 train loss: 0.107551 train token_acc: 0.9780 train exact_match_acc: 0.4993 (K~32.00, min=32, max=32, dt=10.97s)
itr: 3000 lr: 9.895e-05 train loss: 0.085324 train token_acc: 0.9828 train exact_match_acc: 0.5837 (K~32.00, min=32, max=32, dt=10.97s)
itr: 3250 lr: 9.874e-05 train loss: 0.063562 train token_acc: 0.9877 train exact_match_acc: 0.6790 (K~32.00, min=32, max=32, dt=10.97s)
itr: 3500 lr: 9.851e-05 train loss: 0.046169 train token_acc: 0.9910 train exact_match_acc: 0.7532 (K~32.00, min=32, max=32, dt=10.97s)
itr: 3750 lr: 9.826e-05 train loss: 0.038657 train token_acc: 0.9927 train exact_match_acc: 0.7932 (K~32.00, min=32, max=32, dt=10.97s)
itr: 4000 lr: 9.799e-05 train loss: 0.031381 train token_acc: 0.9944 train exact_match_acc: 0.8362 (K~32.00, min=32, max=32, dt=10.97s)
itr: 4250 lr: 9.771e-05 train loss: 0.022607 train token_acc: 0.9960 train exact_match_acc: 0.8809 (K~32.00, min=32, max=32, dt=10.97s)
itr: 4500 lr: 9.740e-05 train loss: 0.018653 train token_acc: 0.9962 train exact_match_acc: 0.8870 (K~32.00, min=32, max=32, dt=10.97s)
itr: 4750 lr: 9.708e-05 train loss: 0.016687 train token_acc: 0.9971 train exact_match_acc: 0.9141 (K~32.00, min=32, max=32, dt=10.97s)
itr: 5000 lr: 9.674e-05 train loss: 0.015030 train token_acc: 0.9973 train exact_match_acc: 0.9182 (K~32.00, min=32, max=32, dt=10.97s)
itr: 5250 lr: 9.638e-05 train loss: 0.012863 train token_acc: 0.9978 train exact_match_acc: 0.9299 (K~32.00, min=32, max=32, dt=10.97s)
itr: 5500 lr: 9.600e-05 train loss: 0.010630 train token_acc: 0.9979 train exact_match_acc: 0.9382 (K~32.00, min=32, max=32, dt=10.97s)
