training:  19%|█▉        | 7750/40000 [01:19<05:28, 98.27it/s]
itr: 0 lr: 2.494e-07 train loss: 4.870021 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.30s)
itr: 250 lr: 6.259e-05 train loss: 4.790866 train token_acc: 0.0030 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.57s)
itr: 500 lr: 1.000e-04 train loss: 3.845467 train token_acc: 0.0455 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.54s)
itr: 750 lr: 9.998e-05 train loss: 2.925631 train token_acc: 0.1554 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.55s)
itr: 1000 lr: 9.994e-05 train loss: 2.313399 train token_acc: 0.3618 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.54s)
itr: 1250 lr: 9.989e-05 train loss: 1.748485 train token_acc: 0.5327 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=2.55s)
itr: 1500 lr: 9.981e-05 train loss: 1.362211 train token_acc: 0.6397 train exact_match_acc: 0.0005 (K~16.00, min=16, max=16, dt=2.54s)
itr: 1750 lr: 9.972e-05 train loss: 1.071564 train token_acc: 0.7189 train exact_match_acc: 0.0029 (K~16.00, min=16, max=16, dt=2.55s)
itr: 2000 lr: 9.960e-05 train loss: 0.821248 train token_acc: 0.7840 train exact_match_acc: 0.0200 (K~16.00, min=16, max=16, dt=2.54s)
itr: 2250 lr: 9.947e-05 train loss: 0.641576 train token_acc: 0.8335 train exact_match_acc: 0.0601 (K~16.00, min=16, max=16, dt=2.55s)
itr: 2500 lr: 9.931e-05 train loss: 0.504638 train token_acc: 0.8712 train exact_match_acc: 0.1187 (K~16.00, min=16, max=16, dt=2.54s)
itr: 2750 lr: 9.914e-05 train loss: 0.414365 train token_acc: 0.8971 train exact_match_acc: 0.1858 (K~16.00, min=16, max=16, dt=2.55s)
itr: 3000 lr: 9.895e-05 train loss: 0.337965 train token_acc: 0.9160 train exact_match_acc: 0.2490 (K~16.00, min=16, max=16, dt=2.54s)
itr: 3250 lr: 9.874e-05 train loss: 0.289632 train token_acc: 0.9310 train exact_match_acc: 0.3350 (K~16.00, min=16, max=16, dt=2.55s)
itr: 3500 lr: 9.851e-05 train loss: 0.228248 train token_acc: 0.9471 train exact_match_acc: 0.4272 (K~16.00, min=16, max=16, dt=2.54s)
itr: 3750 lr: 9.826e-05 train loss: 0.188257 train token_acc: 0.9564 train exact_match_acc: 0.4988 (K~16.00, min=16, max=16, dt=2.55s)
itr: 4000 lr: 9.799e-05 train loss: 0.151269 train token_acc: 0.9661 train exact_match_acc: 0.5796 (K~16.00, min=16, max=16, dt=2.54s)
itr: 4250 lr: 9.771e-05 train loss: 0.124106 train token_acc: 0.9727 train exact_match_acc: 0.6421 (K~16.00, min=16, max=16, dt=2.55s)
itr: 4500 lr: 9.740e-05 train loss: 0.106021 train token_acc: 0.9765 train exact_match_acc: 0.6890 (K~16.00, min=16, max=16, dt=2.54s)
itr: 4750 lr: 9.708e-05 train loss: 0.084408 train token_acc: 0.9817 train exact_match_acc: 0.7488 (K~16.00, min=16, max=16, dt=2.55s)
itr: 5000 lr: 9.674e-05 train loss: 0.074629 train token_acc: 0.9847 train exact_match_acc: 0.7869 (K~16.00, min=16, max=16, dt=2.54s)
itr: 5250 lr: 9.638e-05 train loss: 0.061685 train token_acc: 0.9871 train exact_match_acc: 0.8162 (K~16.00, min=16, max=16, dt=2.55s)
itr: 5500 lr: 9.600e-05 train loss: 0.055133 train token_acc: 0.9892 train exact_match_acc: 0.8411 (K~16.00, min=16, max=16, dt=2.54s)
itr: 5750 lr: 9.561e-05 train loss: 0.046390 train token_acc: 0.9911 train exact_match_acc: 0.8674 (K~16.00, min=16, max=16, dt=2.55s)
itr: 6000 lr: 9.519e-05 train loss: 0.043374 train token_acc: 0.9915 train exact_match_acc: 0.8728 (K~16.00, min=16, max=16, dt=2.54s)
itr: 6250 lr: 9.476e-05 train loss: 0.035727 train token_acc: 0.9932 train exact_match_acc: 0.8987 (K~16.00, min=16, max=16, dt=2.55s)
itr: 6500 lr: 9.432e-05 train loss: 0.029904 train token_acc: 0.9942 train exact_match_acc: 0.9109 (K~16.00, min=16, max=16, dt=2.54s)
itr: 6750 lr: 9.385e-05 train loss: 0.027133 train token_acc: 0.9949 train exact_match_acc: 0.9246 (K~16.00, min=16, max=16, dt=2.55s)
itr: 7000 lr: 9.337e-05 train loss: 0.021163 train token_acc: 0.9958 train exact_match_acc: 0.9363 (K~16.00, min=16, max=16, dt=2.54s)
itr: 7250 lr: 9.287e-05 train loss: 0.019108 train token_acc: 0.9963 train exact_match_acc: 0.9412 (K~16.00, min=16, max=16, dt=2.55s)
itr: 7500 lr: 9.235e-05 train loss: 0.018122 train token_acc: 0.9966 train exact_match_acc: 0.9478 (K~16.00, min=16, max=16, dt=2.54s)
itr: 7750 lr: 9.182e-05 train loss: 0.015423 train token_acc: 0.9972 train exact_match_acc: 0.9580 (K~16.00, min=16, max=16, dt=2.55s)
itr: 8000 lr: 9.127e-05 train loss: 0.013168 train token_acc: 0.9977 train exact_match_acc: 0.9634 (K~16.00, min=16, max=16, dt=2.54s)
itr: 8250 lr: 9.071e-05 train loss: 0.013328 train token_acc: 0.9976 train exact_match_acc: 0.9631 (K~16.00, min=16, max=16, dt=2.55s)
itr: 8500 lr: 9.013e-05 train loss: 0.010189 train token_acc: 0.9981 train exact_match_acc: 0.9702 (K~16.00, min=16, max=16, dt=2.54s)
itr: 8750 lr: 8.953e-05 train loss: 0.007711 train token_acc: 0.9984 train exact_match_acc: 0.9753 (K~16.00, min=16, max=16, dt=2.55s)
itr: 9000 lr: 8.892e-05 train loss: 0.008327 train token_acc: 0.9986 train exact_match_acc: 0.9778 (K~16.00, min=16, max=16, dt=2.54s)
itr: 9250 lr: 8.829e-05 train loss: 0.006109 train token_acc: 0.9987 train exact_match_acc: 0.9800 (K~16.00, min=16, max=16, dt=2.55s)
itr: 9500 lr: 8.765e-05 train loss: 0.005563 train token_acc: 0.9990 train exact_match_acc: 0.9834 (K~16.00, min=16, max=16, dt=2.54s)
itr: 9750 lr: 8.700e-05 train loss: 0.005327 train token_acc: 0.9990 train exact_match_acc: 0.9846 (K~16.00, min=16, max=16, dt=2.55s)
itr: 10000 lr: 8.632e-05 train loss: 0.006831 train token_acc: 0.9987 train exact_match_acc: 0.9797 (K~16.00, min=16, max=16, dt=2.54s)
itr: 10250 lr: 8.564e-05 train loss: 0.006076 train token_acc: 0.9989 train exact_match_acc: 0.9827 (K~16.00, min=16, max=16, dt=2.55s)
itr: 10500 lr: 8.494e-05 train loss: 0.004735 train token_acc: 0.9991 train exact_match_acc: 0.9856 (K~16.00, min=16, max=16, dt=2.54s)
itr: 10750 lr: 8.423e-05 train loss: 0.003956 train token_acc: 0.9993 train exact_match_acc: 0.9895 (K~16.00, min=16, max=16, dt=2.55s)
