training:  19%|█▉        | 7744/40000 [00:31<02:09, 249.15it/s]
itr: 0 lr: 2.494e-07 train loss: 4.198553 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=0.28s)
itr: 250 lr: 6.259e-05 train loss: 4.180331 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.04s)
itr: 500 lr: 1.000e-04 train loss: 4.119786 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 750 lr: 9.998e-05 train loss: 4.022907 train token_acc: 0.0030 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 1000 lr: 9.994e-05 train loss: 3.847897 train token_acc: 0.0120 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 1250 lr: 9.989e-05 train loss: 3.532989 train token_acc: 0.0175 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 1500 lr: 9.981e-05 train loss: 3.256799 train token_acc: 0.0369 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 1750 lr: 9.972e-05 train loss: 3.040672 train token_acc: 0.0415 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 2000 lr: 9.960e-05 train loss: 2.877086 train token_acc: 0.0435 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 2250 lr: 9.947e-05 train loss: 2.757045 train token_acc: 0.0654 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 2500 lr: 9.931e-05 train loss: 2.670238 train token_acc: 0.0908 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 2750 lr: 9.914e-05 train loss: 2.601522 train token_acc: 0.1189 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 3000 lr: 9.895e-05 train loss: 2.543017 train token_acc: 0.1454 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 3250 lr: 9.874e-05 train loss: 2.482299 train token_acc: 0.1686 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 3500 lr: 9.851e-05 train loss: 2.406288 train token_acc: 0.1940 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 3750 lr: 9.826e-05 train loss: 2.314989 train token_acc: 0.2182 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 4000 lr: 9.799e-05 train loss: 2.217235 train token_acc: 0.2485 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 4250 lr: 9.771e-05 train loss: 2.128606 train token_acc: 0.2773 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 4500 lr: 9.740e-05 train loss: 2.035605 train token_acc: 0.3080 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 4750 lr: 9.708e-05 train loss: 1.956483 train token_acc: 0.3324 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 5000 lr: 9.674e-05 train loss: 1.859332 train token_acc: 0.3680 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 5250 lr: 9.638e-05 train loss: 1.776513 train token_acc: 0.3921 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 5500 lr: 9.600e-05 train loss: 1.693368 train token_acc: 0.4194 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 5750 lr: 9.561e-05 train loss: 1.601566 train token_acc: 0.4511 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 6000 lr: 9.519e-05 train loss: 1.517201 train token_acc: 0.4827 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 6250 lr: 9.476e-05 train loss: 1.429407 train token_acc: 0.5139 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 6500 lr: 9.432e-05 train loss: 1.351263 train token_acc: 0.5413 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 6750 lr: 9.385e-05 train loss: 1.266597 train token_acc: 0.5717 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 7000 lr: 9.337e-05 train loss: 1.200105 train token_acc: 0.5956 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 7250 lr: 9.287e-05 train loss: 1.133032 train token_acc: 0.6197 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
itr: 7500 lr: 9.235e-05 train loss: 1.069157 train token_acc: 0.6414 train exact_match_acc: 0.0000 (K~16.00, min=16, max=16, dt=1.01s)
