training:  19%|█▉        | 7746/40000 [02:22<09:50, 54.60it/s]
itr: 0 lr: 2.494e-07 train loss: 5.553718 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=0.33s)
itr: 250 lr: 6.259e-05 train loss: 5.491156 train token_acc: 0.0000 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.61s)
itr: 500 lr: 1.000e-04 train loss: 4.611395 train token_acc: 0.0170 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.58s)
itr: 750 lr: 9.998e-05 train loss: 3.404169 train token_acc: 0.0312 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.58s)
itr: 1000 lr: 9.994e-05 train loss: 3.112181 train token_acc: 0.0962 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.58s)
itr: 1250 lr: 9.989e-05 train loss: 2.972245 train token_acc: 0.1227 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.58s)
itr: 1500 lr: 9.981e-05 train loss: 2.810648 train token_acc: 0.1624 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.58s)
itr: 1750 lr: 9.972e-05 train loss: 2.587458 train token_acc: 0.2215 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.58s)
itr: 2000 lr: 9.960e-05 train loss: 2.261179 train token_acc: 0.3165 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.58s)
itr: 2250 lr: 9.947e-05 train loss: 1.810722 train token_acc: 0.4517 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.58s)
itr: 2500 lr: 9.931e-05 train loss: 1.321666 train token_acc: 0.6024 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.58s)
itr: 2750 lr: 9.914e-05 train loss: 0.913019 train token_acc: 0.7349 train exact_match_acc: 0.0000 (K~32.00, min=32, max=32, dt=4.58s)
itr: 3000 lr: 9.895e-05 train loss: 0.631033 train token_acc: 0.8235 train exact_match_acc: 0.0020 (K~32.00, min=32, max=32, dt=4.58s)
itr: 3250 lr: 9.874e-05 train loss: 0.422031 train token_acc: 0.8887 train exact_match_acc: 0.0327 (K~32.00, min=32, max=32, dt=4.58s)
itr: 3500 lr: 9.851e-05 train loss: 0.281250 train token_acc: 0.9305 train exact_match_acc: 0.1235 (K~32.00, min=32, max=32, dt=4.58s)
itr: 3750 lr: 9.826e-05 train loss: 0.190279 train token_acc: 0.9562 train exact_match_acc: 0.2725 (K~32.00, min=32, max=32, dt=4.58s)
itr: 4000 lr: 9.799e-05 train loss: 0.141088 train token_acc: 0.9696 train exact_match_acc: 0.3931 (K~32.00, min=32, max=32, dt=4.58s)
itr: 4250 lr: 9.771e-05 train loss: 0.103941 train token_acc: 0.9786 train exact_match_acc: 0.5198 (K~32.00, min=32, max=32, dt=4.58s)
itr: 4500 lr: 9.740e-05 train loss: 0.079737 train token_acc: 0.9844 train exact_match_acc: 0.6084 (K~32.00, min=32, max=32, dt=4.58s)
itr: 4750 lr: 9.708e-05 train loss: 0.063692 train token_acc: 0.9878 train exact_match_acc: 0.6809 (K~32.00, min=32, max=32, dt=4.58s)
itr: 5000 lr: 9.674e-05 train loss: 0.051041 train token_acc: 0.9903 train exact_match_acc: 0.7332 (K~32.00, min=32, max=32, dt=4.58s)
itr: 5250 lr: 9.638e-05 train loss: 0.040558 train token_acc: 0.9920 train exact_match_acc: 0.7725 (K~32.00, min=32, max=32, dt=4.58s)
itr: 5500 lr: 9.600e-05 train loss: 0.038295 train token_acc: 0.9933 train exact_match_acc: 0.8064 (K~32.00, min=32, max=32, dt=4.58s)
itr: 5750 lr: 9.561e-05 train loss: 0.032679 train token_acc: 0.9942 train exact_match_acc: 0.8303 (K~32.00, min=32, max=32, dt=4.58s)
itr: 6000 lr: 9.519e-05 train loss: 0.027486 train token_acc: 0.9950 train exact_match_acc: 0.8530 (K~32.00, min=32, max=32, dt=4.58s)
itr: 6250 lr: 9.476e-05 train loss: 0.021718 train token_acc: 0.9960 train exact_match_acc: 0.8787 (K~32.00, min=32, max=32, dt=4.58s)
itr: 6500 lr: 9.432e-05 train loss: 0.020098 train token_acc: 0.9964 train exact_match_acc: 0.8892 (K~32.00, min=32, max=32, dt=4.58s)
itr: 6750 lr: 9.385e-05 train loss: 0.019759 train token_acc: 0.9967 train exact_match_acc: 0.9004 (K~32.00, min=32, max=32, dt=4.58s)
itr: 7000 lr: 9.337e-05 train loss: 0.015690 train token_acc: 0.9974 train exact_match_acc: 0.9182 (K~32.00, min=32, max=32, dt=4.58s)
itr: 7250 lr: 9.287e-05 train loss: 0.014789 train token_acc: 0.9978 train exact_match_acc: 0.9299 (K~32.00, min=32, max=32, dt=4.58s)
itr: 7500 lr: 9.235e-05 train loss: 0.013436 train token_acc: 0.9976 train exact_match_acc: 0.9260 (K~32.00, min=32, max=32, dt=4.58s)
itr: 7750 lr: 9.182e-05 train loss: 0.012168 train token_acc: 0.9980 train exact_match_acc: 0.9363 (K~32.00, min=32, max=32, dt=4.58s)
itr: 8000 lr: 9.127e-05 train loss: 0.011668 train token_acc: 0.9981 train exact_match_acc: 0.9412 (K~32.00, min=32, max=32, dt=4.58s)
itr: 8250 lr: 9.071e-05 train loss: 0.012180 train token_acc: 0.9982 train exact_match_acc: 0.9431 (K~32.00, min=32, max=32, dt=4.58s)
itr: 8500 lr: 9.013e-05 train loss: 0.009841 train token_acc: 0.9984 train exact_match_acc: 0.9487 (K~32.00, min=32, max=32, dt=4.58s)
itr: 8750 lr: 8.953e-05 train loss: 0.008844 train token_acc: 0.9984 train exact_match_acc: 0.9512 (K~32.00, min=32, max=32, dt=4.58s)
itr: 9000 lr: 8.892e-05 train loss: 0.009000 train token_acc: 0.9986 train exact_match_acc: 0.9556 (K~32.00, min=32, max=32, dt=4.58s)
